instnm,GraduationRate6Yr,GraduationRate4Yr,PercentFinancialAid,PercentStudentLoans,TotalPriceInStateOnCampus,TotalPriceOutStateOnCampus,TotalPriceInStateWithFamily,PercentAdmitted,TotalEnrollment,Applicants,Enrolled,Admitted,SatMath75th,SatReading75th,SatWriting75th,StudToFacRatio
Abilene Christian University,62,48,100,57,44740,44740,35430,50,4544,10804,1072,5393,590,590,570,15
Adelphi University,68,57,94,59,51708,51708,42508,72,7256,9367,868,6762,620,600,620,11
Alabama A & M University,27,6,88,75,22896,30666,14756,65,5627,7901,1461,5166,480,470,457,19
Alaska Pacific University,48,39,100,63,31010,31010,24910,39,522,699,49,272,545,570,520,8
Albany College of Pharmacy and Health Sciences,48,44,100,81,45089,45089,36379,66,1482,1421,188,936,650,620,610,9
Albion College,71,61,100,67,52085,52085,41265,80,1376,2703,456,2157,560,600,580,12
Alderson Broaddus University,49,39,100,84,36511,36511,29389,54,1154,4206,333,2258,530,510,490,17
Alfred University,61,43,100,85,41421,41421,33011,68,2286,3640,455,2490,580,570,540,13
Alice Lloyd College,31,27,99,65,23850,23850,17960,35,616,4811,182,1689,480,520,550,17
Alma College,67,56,100,95,48268,48268,38446,68,1385,2479,336,1675,670,650,548,11
Alvernia University,53,37,100,83,45920,45920,35100,74,2856,1670,401,1240,550,540,530,12
Alverno College,42,11,100,74,37029,37029,30350,77,2209,613,231,473,490,560,615,10
American International College,44,29,100,88,47840,47840,36202,63,3539,2060,355,1301,500,490,480,14
American University,81,76,82,57,60586,60586,45784,35,13198,16735,1787,5860,650,690,670,12
Amherst College,93,86,62,17,66572,66572,53362,14,1795,8568,477,1210,780,773,770,8
Anderson University,53,47,100,94,39185,39185,31458,55,3212,3322,663,1825,590,593,590,16
Andrews University,62,33,100,62,37732,37732,29200,39,3366,2201,274,863,620,620,600,9
Angelo State University,36,21,93,51,19274,28634,11572,77,8483,3871,1346,2970,540,530,500,19
Appalachian Bible College,40,30,100,30,25180,25180,18250,48,281,101,43,48,560,580,550,15
Appalachian State University,72,49,68,49,18438,32263,10834,66,17932,13083,3049,8684,620,620,600,16
Arcadia University,61,57,98,90,55360,55360,44910,59,3984,9641,602,5713,600,600,590,10
Arkansas State University-Main Campus,44,26,94,52,22103,28103,13963,70,13410,5346,1577,3755,540,540,480,17
Art Academy of Cincinnati,52,44,100,83,40988,40988,31888,23,207,579,76,133,520,530,500,8
Auburn University,75,47,75,31,29794,47410,17210,78,27287,19414,4902,15077,650,630,620,19
Augsburg College,57,43,100,87,48545,48545,40665,59,3458,2925,478,1731,560,635,570,12
Aurora University,58,41,99,68,35004,35004,30458,77,5423,2843,630,2196,530,548,520,17
Austin College,73,69,100,84,50647,50647,39060,54,1255,3357,355,1816,640,650,630,13
Ave Maria University,65,53,100,60,32392,32392,26619,43,1110,2261,301,967,590,620,600,15
Babson College,91,87,56,39,64612,64612,56864,26,3057,7516,528,1977,720,720,660,14
Ball State University,62,45,88,66,23680,39198,15564,61,21196,22147,3503,13399,590,600,580,14
Baptist Memorial College of Health Sciences,72,58,97,65,21212,21212,16071,55,1079,287,60,159,620,600,520,10
Barnard College,91,82,56,35,65261,65261,50151,20,2548,6655,635,1306,720,730,740,10
Baylor University,74,58,98,44,56796,56796,44690,44,16787,32136,3394,14033,670,650,640,15
Becker College,37,25,100,78,50640,50640,38040,67,2153,3268,415,2186,560,550,540,17
Bentley University,89,83,76,49,61005,61005,50720,42,5552,8346,915,3532,690,640,650,12
Berea College,63,48,100,16,34380,34380,27970,37,1643,1635,432,597,620,635,605,10
Berry College,66,59,100,57,46384,46384,36592,55,2245,4347,575,2407,610,630,610,12
Bethany College,41,29,100,87,40100,40100,30300,70,737,1168,208,820,510,490,470,11
Bethany College,42,29,99,86,39720,39720,31620,99,699,1650,188,1638,520,510,490,13
Bethany Lutheran College,55,48,100,75,35240,35240,27470,85,524,347,135,296,710,620,670,9
Bethel College-Indiana,66,56,100,78,38930,38930,30590,66,1719,1938,281,1288,560,560,540,12
Bethel University,35,14,95,74,30196,30196,21414,84,6318,1149,627,965,500,520,520,17
Bethlehem College & Seminary,85,85,8,0,12320,12320,6980,79,191,33,23,26,570,610,590,15
Biola University,72,54,98,64,49708,49708,39484,70,6227,3874,829,2706,620,620,610,15
Black Hills State University,36,16,92,69,19962,22544,13504,84,4395,1385,520,1164,555,500,528,19
Bloomsburg University of Pennsylvania,62,38,86,78,22604,33422,22604,88,9737,9795,2109,8592,540,540,520,21
Bluffton University,49,44,100,81,44058,44058,35668,54,1011,1652,218,885,560,580,550,12
Bob Jones University,60,50,92,43,23980,23980,17700,82,3005,1101,609,903,570,618,570,12
Boise Bible College,48,20,100,50,26415,26415,18315,98,150,54,29,53,570,610,560,11
Boise State University,39,15,81,47,20372,34422,11856,80,22086,8156,2193,6490,570,570,550,17
Boston Baptist College,34,31,100,90,26691,26691,17783,92,85,13,11,12,500,550,500,8
Boston College,93,89,53,38,65620,65620,53824,29,14354,29486,2162,8405,750,720,730,14
Boston University,87,81,54,40,65906,65906,53236,33,32158,54781,3629,17871,730,680,690,12
Bowie State University,37,12,91,72,21540,32022,11460,57,5430,2671,591,1535,470,490,470,16
Brandeis University,90,83,63,41,65954,65954,53958,34,5752,10528,802,3582,770,700,710,10
Brenau University,45,32,97,70,41776,41776,31078,66,2883,2324,203,1525,530,560,520,11
Bridgewater College,66,58,100,78,46430,46430,35690,49,1834,7187,542,3541,560,565,540,14
Brigham Young University-Provo,83,29,71,12,17718,17718,9700,48,33469,13376,5127,6427,680,680,660,20
Bryan College-Dayton,58,52,95,53,34020,34020,27616,46,1489,716,171,326,512,562,565,14
Bryn Athyn College of the New Church,54,47,97,64,32305,32305,21103,42,278,439,89,185,550,555,530,7
Bucknell University,88,84,58,34,65268,65268,53052,25,3625,10967,938,2718,710,680,690,9
Butler University,74,57,95,54,52615,52615,40510,70,4797,9943,1025,7003,630,620,610,11
Cairn University-Langhorne,59,17,100,92,36200,36200,26850,99,1043,390,161,385,540,555,550,13
Caldwell University,58,39,93,65,47240,47240,37200,64,2138,3582,330,2276,550,530,530,12
California Baptist University,60,42,95,75,43384,43384,36430,65,8541,4180,1107,2734,540,540,530,18
California Institute of Technology,94,81,75,22,63471,63471,50997,9,2255,6506,241,573,800,800,800,3
California Lutheran University,73,67,97,61,56211,56211,44578,62,4126,6569,595,4044,600,600,600,15
California University of Pennsylvania,54,37,90,79,25442,29575,17186,85,7854,3590,927,3049,510,510,490,21
Calvary University,56,44,82,57,18576,18576,17186,94,319,52,33,49,578,518,518,7
Campbell University,55,40,90,90,44470,44470,33720,73,6484,6626,976,4870,560,550,530,16
Campbellsville University,37,26,91,68,36172,36172,29502,76,3128,2579,514,1949,550,515,470,13
Capital University,59,53,99,95,46070,46070,39268,72,3465,3734,671,2686,580,600,600,12
Carlow University,57,40,100,89,40506,40506,29934,81,2272,945,223,763,523,540,530,11
Carroll College,66,47,100,58,44672,44672,35454,64,1469,3513,387,2252,600,600,590,13
Case Western Reserve University,82,64,82,45,61510,61510,50230,36,11340,22807,1259,8271,770,720,720,11
Castleton University,47,33,93,78,23382,38790,17632,97,2246,2076,445,2009,533,530,510,12
Catawba College,52,39,100,75,43603,43603,33243,32,1275,3117,308,991,560,550,510,13
Cedar Crest College,56,40,100,88,48715,48715,39100,67,1591,1086,179,733,530,550,520,10
Cedarville University,72,59,99,56,36648,36648,30106,74,3654,3159,819,2344,640,650,630,13
Centenary University,58,46,100,98,46899,46899,38659,87,2284,1186,229,1029,510,510,510,17
Central Baptist College,31,19,93,66,25504,25504,18290,47,881,358,110,170,445,508,450,11
Central Connecticut State University,54,21,85,65,24446,36716,14882,59,12086,8686,1363,5096,550,550,550,15
Central Methodist University-College of Liberal Arts and Sciences,45,35,100,77,35660,35660,28320,58,1094,1431,287,828,548,508,490,12
Central Michigan University,57,22,95,82,22922,34742,14520,69,26825,18575,3486,12770,580,560,560,20
Central Penn College,38,34,94,90,26649,26649,19851,97,1385,582,240,565,435,430,410,11
Central Washington University,52,27,89,61,22482,35295,12702,82,11993,4934,1661,4027,550,550,500,20
Champlain College,62,54,96,69,53586,53586,42036,66,4006,5587,554,3697,630,630,600,14
Chapman University,79,65,87,60,64650,64650,52920,48,8305,13670,1426,6504,650,640,660,14
Chestnut Hill College,48,37,100,83,47955,47955,37518,93,1951,1215,205,1125,530,550,530,9
Chowan University,23,12,100,92,34720,34720,26040,62,1532,4829,552,2982,430,430,410,16
Christopher Newport University,75,63,79,53,27702,39000,17748,60,5172,7366,1224,4427,620,630,600,15
Cincinnati Christian University,37,17,100,70,30086,30086,22226,95,883,227,105,216,570,620,540,13
Claremont McKenna College,93,86,50,32,66325,66325,56614,11,1349,7156,343,784,780,750,760,8
Clarion University of Pennsylvania,50,36,95,78,24502,28972,14934,96,5368,2215,953,2128,510,520,490,18
Clarkson University,71,56,100,75,62332,62332,49546,68,3910,6906,792,4700,660,630,600,14
Cleveland Institute of Art,63,58,95,73,55787,55787,49032,65,606,738,168,479,580,620,600,9
Cleveland State University,41,21,90,62,26436,29678,13936,88,16915,7650,1847,6735,580,570,540,18
Coe College,67,62,99,78,51260,51260,42750,63,1411,3457,368,2190,640,625,608,11
Colby College,89,84,48,20,63330,63330,50720,23,1857,7593,508,1710,740,720,730,10
College of Mount Saint Vincent,55,39,98,83,33995,33995,25875,86,1807,2734,321,2353,490,500,490,14
College of Our Lady of the Elms,64,59,99,86,47538,47538,36330,75,1712,832,186,623,540,530,530,13
College of Saint Benedict,84,79,100,75,53475,53475,43246,74,1943,1860,476,1379,570,590,560,12
College of Saint Elizabeth,50,40,99,91,50631,50631,37887,63,1247,804,101,508,460,443,450,10
College of the Ozarks,69,54,100,0,28476,28476,23138,12,1441,3122,345,386,561,498,534,14
College of William and Mary,91,85,55,25,33630,55330,23152,34,8484,14952,1518,5153,730,730,720,12
Colorado School of Mines,77,52,90,46,31726,49201,21353,38,6054,11752,1003,4427,730,690,650,16
Columbia International University,74,62,100,60,34060,34060,27530,34,1001,553,95,188,550,580,570,14
Columbia University in the City of New York,94,85,57,13,69084,69084,57080,7,28086,36911,1527,2438,790,780,790,6
Columbus State University,30,11,92,60,20871,31445,11801,56,8440,3157,1021,1758,540,550,530,17
Concord University,34,18,97,43,19156,27236,10946,85,2507,1451,445,1232,530,530,510,16
Concordia College-New York,54,45,90,69,43724,43724,32405,71,1156,1024,140,731,500,500,490,13
Concordia University-Irvine,54,49,98,66,46230,46230,37860,59,4505,3135,334,1855,570,560,545,15
Concordia University-Texas,35,23,99,66,41858,41858,32574,82,2559,1036,267,851,550,540,520,9
Concordia University-Wisconsin,56,38,98,72,41320,41320,35050,67,8268,2937,627,1959,588,568,540,12
Corban University,58,54,88,61,43120,43120,32540,31,1232,3108,275,949,560,600,590,15
Cornell College,68,65,100,69,52153,52153,43453,70,1037,1936,276,1364,640,660,630,11
Covenant College,67,59,100,51,43190,43190,33220,94,1102,615,258,578,630,650,650,13
Creighton University,73,67,99,54,50716,50716,40222,70,8435,9747,1068,6870,650,630,620,11
Cumberland University,55,34,100,45,35380,35380,33950,49,1550,695,200,341,600,480,430,16
D'Youville College,45,23,98,77,39750,39750,28570,73,2909,1220,240,886,560,550,530,9
Dakota Wesleyan University,47,31,100,92,36050,36050,29000,74,991,644,178,479,508,521,502,10
Dallas Christian College,34,23,98,76,28856,28856,20936,51,316,271,60,138,499,508,507,13
Davidson College,95,91,70,24,62894,62894,49466,22,1784,5382,510,1191,720,720,720,10
Delaware State University,43,25,98,80,22057,30664,14877,44,4288,8141,897,3617,490,480,460,15
Delaware Valley University,57,49,100,80,50946,50946,38556,69,2266,2594,471,1782,560,550,540,15
DePauw University,85,78,100,40,58478,58478,47678,65,2265,5182,596,3356,670,620,620,10
DeSales University,68,59,99,73,47978,47978,37888,78,3136,2706,429,2100,590,590,580,13
Dominican College of Blauvelt,43,30,100,84,42020,42020,30200,71,2061,1959,365,1400,490,480,480,16
Dominican University,62,50,100,81,42590,42590,35670,63,3696,4161,484,2612,550,580,480,11
Dominican University of California,72,57,99,65,60902,60902,48600,79,1863,2178,255,1717,580,560,550,9
Dordt College,69,63,100,70,41200,41200,33900,70,1458,1342,365,937,650,650,620,15
East Carolina University,61,34,75,61,20644,36218,17382,69,28289,16871,4302,11647,570,560,540,18
East Stroudsburg University of Pennsylvania,57,37,87,81,22128,32946,15906,84,6828,5982,1312,5027,520,510,500,22
Eastern Kentucky University,45,23,98,59,20172,29662,13750,71,16844,10215,2794,7215,550,550,545,16
Eastern Michigan University,41,13,97,62,22351,39646,14785,75,21824,14236,2872,10645,580,580,550,18
Eastern Nazarene College,45,36,100,65,42290,42290,33340,61,1005,1129,114,692,560,550,540,14
Eastern Oregon University,31,16,97,61,21906,32121,11730,97,3488,994,325,967,520,530,490,17
Eastern Washington University,47,21,93,58,22436,36842,12021,82,12361,5166,1724,4240,550,540,520,22
Ecclesia College,11,11,100,64,28430,28430,24010,60,283,213,74,127,510,480,530,11
Edinboro University of Pennsylvania,49,28,96,76,22852,23492,13036,96,6548,3509,1211,3358,520,530,500,19
Edward Waters College,26,8,98,74,24083,24083,16801,54,2254,3353,259,1801,455,430,420,15
Elizabeth City State University,37,16,97,73,13661,26014,6662,70,1585,1531,268,1071,460,460,440,15
Elmhurst College,69,56,99,93,47780,47780,40430,55,3298,3620,478,1983,605,600,590,14
Elon University,82,77,63,31,46670,46670,35322,57,6631,10256,1524,5866,650,640,650,12
Emerson College,80,77,73,58,59807,59807,45752,49,4479,8618,915,4225,640,670,660,13
Emory & Henry College,51,34,100,75,44620,44620,34450,76,1117,1456,304,1112,540,550,520,11
Emory University,91,85,55,33,63058,63058,49928,24,13788,20492,1357,4851,770,720,730,8
Erskine College,63,59,100,78,49765,49765,46865,64,761,991,219,637,560,550,530,12
Eureka College,52,40,100,82,31345,31345,25610,62,695,1225,165,764,640,630,610,13
Evangel University,54,44,100,93,33829,33829,26591,61,1958,1484,362,912,580,580,580,14
Faith Baptist Bible College and Theological Seminary,46,39,99,54,27778,27778,21046,64,269,137,69,88,690,650,610,11
Faulkner University,32,18,100,78,32410,32410,25280,57,3262,1712,297,981,510,520,510,15
Fayetteville State University,32,17,75,57,15531,27139,7711,60,6104,3943,631,2381,470,460,430,17
Ferris State University,44,20,95,71,22438,29030,13612,78,14715,10297,1967,8050,580,540,500,16
Ferrum College,30,19,100,93,43630,43630,33305,73,1334,3020,429,2203,500,500,470,14
Finlandia University,22,10,100,80,34288,34288,27210,46,536,1456,164,669,490,500,460,11
Fisk University,32,26,95,68,38831,38831,26871,81,855,3004,216,2431,560,480,560,13
Fitchburg State University,54,34,90,78,21938,28018,13335,75,6598,3998,789,2989,550,540,520,14
Flagler College-St Augustine,60,46,95,64,31060,31060,21430,50,2702,5260,620,2655,560,588,570,16
Florida Agricultural and Mechanical University,41,12,97,74,20389,32329,11163,51,9928,5832,1485,2998,530,540,510,16
Florida Atlantic University,50,19,77,45,22255,34700,11691,68,30380,15847,3474,10725,570,570,550,23
Florida College,25,16,95,63,28664,28664,19574,81,550,297,181,241,550,560,568,13
Florida Gulf Coast University,46,20,72,42,20142,39186,10718,61,14833,13608,2698,8244,570,570,560,22
Florida International University,56,25,82,34,23240,35638,15414,50,49782,21442,4202,10806,580,590,570,25
Florida Southern College,59,52,100,87,44572,44572,34362,45,2869,6190,698,2806,610,620,600,13
Florida State University,80,61,89,36,22071,37237,11807,56,40830,29828,6100,16674,640,640,640,25
Fordham University,80,74,91,56,67457,67457,51035,48,15286,42811,2211,20366,680,670,680,14
Framingham State University,55,34,87,78,23924,30004,17160,71,6398,4803,855,3401,540,540,530,15
Franklin College,66,60,100,80,41865,41865,34025,70,1087,2023,290,1412,540,540,520,12
Franklin Pierce University,43,36,99,80,49166,49166,37620,80,2273,3740,418,2981,520,520,510,13
