StartDate,EndDate,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11WOC,F12,F13,F14WOC,F15WOC,F16WOC,F17,F18,F19,F20WOC,F21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33MOC,M34MOC,M35MOC,M36MOC,M37,M38,M39,M40,M41,M42,Age,Gender,Ethnicity,Specify_ethnicity,University,Class_standing,Class_specify,Major,GPA,History_offering,Taken_history,Grade_history,Womenclass_offer,Taken_womenclass,Grade_womenclass,Nameofwomenclass,Male_score,Female_score,POC_score,White_score,WhiteWomen_score,WhiteMen_score,POCWomen_score,POCMen_score,Overall_Reconition_Mean,random_white,Male_Score_Median,Female_Score_Median,POC_Score_Median,White_Score_Median,White_Women_Median,White_Men_Median,POC_Women_Median,POC_Men_Median,Full_Scale_Median,Random_White_Median
2/21/2018 20:44:38,2/21/2018 20:48:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,1,1,2,2,3,0,3,0,0,0,1,0,2,0,1,0,2,21,2,5, , ,3, ,(double major) Criminal Justice and Psychology,3.8, , , ,1,3, , ,1.42857142857143,.0476190476190476,.111111111111111,.909090909090909,.0625,1.70588235294118,0,.25,.738095238095238,.333333333333333,1,0,0,0,0,2,0,0,0,0
2/18/2018 22:46:09,2/18/2018 22:51:04,0,1,0,1,3,0,0,1,0,1,1,0,0,1,0,1,3,1,0,0,1,3,3,1,2,3,1,3,1,3,3,0,1,0,1,0,0,0,1,0,0,0,25,2,5, , ,3, ,(Newly) psychology,3.4, , , ,1,3, , ,1.23809523809524,.714285714285714,.555555555555556,1.09090909090909,.75,1.41176470588235,.6,.5,.976190476190476,.555555555555556,1,1,1,1,.5,1,1,.5,1,0
2/7/2018 15:29:35,2/7/2018 15:35:32,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,3,3,3,1,2,2,1,3,2,3,0,1,2,1,0,1,1,0,1,0,19,2,5, , ,3, ,"Clinical psychology, English Secondary Education",3.81, , , , , , , ,1.57142857142857,.428571428571429,.555555555555556,1.12121212121212,.5,1.70588235294118,.2,1,1,.444444444444444,1,0,0,1,0,2,0,1,1,1
1/31/2018 14:29:04,1/31/2018 14:33:32,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,3,3,3,2,3,2,3,3,3,3,3,1,2,1,1,0,3,1,1,2,0,20,2,5, , ,3, ,counseling psychology,2.6,1,2, ,1,3, , ,2.04761904761905,.380952380952381,.888888888888889,1.3030303030303,.3125,2.23529411764706,.6,1.25,1.21428571428571,.777777777777778,2,0,1,1,0,3,1,1,1,0
1/31/2018 18:08:37,1/31/2018 18:10:55,0,1,1,0,1,1,0,2,1,1,1,2,1,0,0,1,0,1,1,1,1,3,3,3,3,2,2,3,2,1,1,1,1,0,1,2,0,1,0,1,0,0,20,2,5, , ,3, ,Counseling Psychology,2.9,1,2, , , , , ,1.42857142857143,.80952380952381,.777777777777778,1.21212121212121,.875,1.52941176470588,.6,1,1.11904761904762,1.11111111111111,1,1,1,1,1,1,1,1,1,1
1/31/2018 15:29:46,1/31/2018 15:35:09,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,3,2,3,3,3,2,3,0,0,0,0,0,1,0,2,0,2,21,2,5, , ,3, ,Counseling Psychology,3.94,1,3, ,1,1,1,Women Psychology,1.61904761904762,.142857142857143,0,1.12121212121212,.1875,2,0,0,.880952380952381,.888888888888889,2,0,0,1,0,2,0,0,0,0
1/31/2018 21:38:45,1/31/2018 21:42:29,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0,3,3,3,3,3,3,3,3,1,3,2,1,1,2,1,1,3,0,0,2,0,29,2,5, , ,3, ,Counseling Psychology,2.25,1,2, ,1,3, , ,1.95238095238095,.428571428571429,.555555555555556,1.36363636363636,.5625,2.11764705882353,0,1.25,1.19047619047619,.777777777777778,2,0,0,1,0,3,0,1,1,0
2/20/2018 19:10:35,2/20/2018 19:15:45,1,3,1,3,0,0,3,1,0,0,2,0,0,0,3,0,3,1,0,1,0,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,0,3,3,3,3,1,29,2,2, , ,3, ,Counseling Psychology,3.66,1,3, ,1,3, , ,2.28571428571429,1.04761904761905,.888888888888889,1.87878787878788,1,2.70588235294118,1.2,.5,1.66666666666667,1.66666666666667,3,1,1,3,.5,3,1,.5,1.5,1
2/20/2018 16:36:33,2/20/2018 16:39:54,1,1,0,1,3,0,2,1,0,2,2,0,0,0,0,1,0,0,1,2,1,3,3,3,3,3,2,3,3,3,3,3,0,1,1,0,1,3,1,3,3,0,19,2,5, , ,3, ,Counseling Psychology,4,1,3, ,1,1,1,Psychology Of Women,2.14285714285714,.857142857142857,.777777777777778,1.6969696969697,.8125,2.52941176470588,1,.5,1.5,1.55555555555556,3,1,1,2,1,3,1,.5,1,1
1/31/2018 14:23:14,1/31/2018 14:25:54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,42,1,5, , ,3, ,"Counseling Psychology, History", ,1,2, , , , , ,1.04761904761905,.0476190476190476,0,.696969696969697,.0625,1.29411764705882,0,0,.547619047619048,.777777777777778,0,0,0,0,0,0,0,0,0,0
