country,year,pop,continent,gdpPercap,lifeExp
Afghanistan,1952,8425333,Asia,779.4453145,28.801
Afghanistan,1957,9240934,Asia,820.8530296,30.332
Afghanistan,1962,10267083,Asia,853.10071,31.997
Afghanistan,1967,11537966,Asia,836.1971382,34.02
Afghanistan,1972,13079460,Asia,739.9811058,36.088
Afghanistan,1977,14880372,Asia,786.11336,38.438
Afghanistan,1982,12881816,Asia,978.0114388,39.854
Afghanistan,1987,13867957,Asia,852.3959448,40.822
Afghanistan,1992,16317921,Asia,649.3413952,41.674
Afghanistan,1997,22227415,Asia,635.341351,41.763
Afghanistan,2002,25268405,Asia,726.7340548,42.129
Afghanistan,2007,31889923,Asia,974.5803384,43.828
Albania,1952,1282697,Europe,1601.056136,55.23
Albania,1957,1476505,Europe,1942.284244,59.28
Albania,1962,1728137,Europe,2312.888958,64.82
Albania,1967,1984060,Europe,2760.196931,66.22
Albania,1972,2263554,Europe,3313.422188,67.69
Albania,1977,2509048,Europe,3533.00391,68.93
Albania,1982,2780097,Europe,3630.880722,70.42
Albania,1987,3075321,Europe,3738.932735,72
Albania,1992,3326498,Europe,2497.437901,71.581
Albania,1997,3428038,Europe,3193.054604,72.95
Albania,2002,3508512,Europe,4604.211737,75.651
Albania,2007,3600523,Europe,5937.029526,76.423
Algeria,1952,9279525,Africa,2449.008185,43.077
Algeria,1957,10270856,Africa,3013.976023,45.685
Algeria,1962,11000948,Africa,2550.81688,48.303
Algeria,1967,12760499,Africa,3246.991771,51.407
Algeria,1972,14760787,Africa,4182.663766,54.518
Algeria,1977,17152804,Africa,4910.416756,58.014
Algeria,1982,20033753,Africa,5745.160213,61.368
Algeria,1987,23254956,Africa,5681.358539,65.799
Algeria,1992,26298373,Africa,5023.216647,67.744
Algeria,1997,29072015,Africa,4797.295051,69.152
Algeria,2002,31287142,Africa,5288.040382,70.994
Algeria,2007,33333216,Africa,6223.367465,72.301
Angola,1952,4232095,Africa,3520.610273,30.015
Angola,1957,4561361,Africa,3827.940465,31.999
Angola,1962,4826015,Africa,4269.276742,34
Angola,1967,5247469,Africa,5522.776375,35.985
Angola,1972,5894858,Africa,5473.288005,37.928
Angola,1977,6162675,Africa,3008.647355,39.483
Angola,1982,7016384,Africa,2756.953672,39.942
Angola,1987,7874230,Africa,2430.208311,39.906
Angola,1992,8735988,Africa,2627.845685,40.647
Angola,1997,9875024,Africa,2277.140884,40.963
Angola,2002,10866106,Africa,2773.287312,41.003
Angola,2007,12420476,Africa,4797.231267,42.731
Argentina,1952,17876956,Americas,5911.315053,62.485
Argentina,1957,19610538,Americas,6856.856212,64.399
Argentina,1962,21283783,Americas,7133.166023,65.142
Argentina,1967,22934225,Americas,8052.953021,65.634
Argentina,1972,24779799,Americas,9443.038526,67.065
Argentina,1977,26983828,Americas,10079.02674,68.481
Argentina,1982,29341374,Americas,8997.897412,69.942
Argentina,1987,31620918,Americas,9139.671389,70.774
Argentina,1992,33958947,Americas,9308.41871,71.868
Argentina,1997,36203463,Americas,10967.28195,73.275
Argentina,2002,38331121,Americas,8797.640716,74.34
Argentina,2007,40301927,Americas,12779.37964,75.32
Australia,1952,8691212,Oceania,10039.59564,69.12
Australia,1957,9712569,Oceania,10949.64959,70.33
Australia,1962,10794968,Oceania,12217.22686,70.93
Australia,1967,11872264,Oceania,14526.12465,71.1
Australia,1972,13177000,Oceania,16788.62948,71.93
Australia,1977,14074100,Oceania,18334.19751,73.49
Australia,1982,15184200,Oceania,19477.00928,74.74
