Timestamp,Gender,Age,status,love_age,partner_sameage,loyality,difference,second love,relationship,break up ,,,,,,
1/16/2021 9:17:40,Male,19,Single,17,no - not the same age,yes,my partner is younger,No,Maybe,No,,,,,,
1/16/2021 9:18:32,Male,30,Single,15,yes - same age,Maybe,my partner is of same age,Yes,Maybe,No,,,,,,
1/16/2021 9:23:56,Male,22,Single,22,no - not the same age,yes,my partner is elder,No,No,Yes,,,,,,
1/16/2021 9:24:41,Female,19,In a relationship,18,no - not the same age,Maybe,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 9:29:35,Male,19,Single,19,no - not the same age,no,my partner is elder,Yes,No,Yes,,,,,,
1/16/2021 9:33:07,Female,18,In a relationship,18,no - not the same age,yes,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 9:33:58,Female,19,Single,16,yes - same age,yes,my partner is of same age,No,No,No,,,,,,
1/16/2021 9:36:40,Male,21,Single,17,yes - same age,yes,my partner is of same age,Yes,No,No,,,,,,
1/16/2021 9:38:12,Male,22,In a relationship,17,no - not the same age,Maybe,my partner is elder,No,No,Yes,,,,,,
1/16/2021 9:41:33,Male,21,In a relationship,16,yes - same age,yes,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 9:43:58,Male,19,Single,16,yes - same age,no,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 9:49:01,Male,22,In a relationship,17,no - not the same age,yes,my partner is younger,Yes,Maybe,Yes,,,,,,
1/16/2021 9:49:33,Female,19,Single,15,no - not the same age,Maybe,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 9:51:55,Male,24,In a relationship,22,no - not the same age,yes,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 9:52:00,Male,28,In a relationship,25,no - not the same age,yes,my partner is younger,Yes,Yes,Yes,,,,,,
1/16/2021 9:52:14,Male,26,In a relationship,21,no - not the same age,yes,my partner is younger,Yes,Yes,Yes,,,,,,
1/16/2021 9:53:14,Male,26,Single,17,no - not the same age,Maybe,my partner is younger,Yes,Maybe,Yes,,,,,,
1/16/2021 9:54:15,Male,27,Single,26,no - not the same age,yes,my partner is younger,No,Maybe,Yes,,,,,,
1/16/2021 9:54:46,Male,21,In a relationship,20,no - not the same age,yes,my partner is elder,No,Yes,No,,,,,,
1/16/2021 9:54:55,Female,21,Single,19,no - not the same age,yes,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 9:55:17,Male,23,Single,20,no - not the same age,yes,my partner is elder,No,Maybe,Yes,,,,,,
1/16/2021 9:57:25,Male,21,Single,19,no - not the same age,yes,my partner is elder,No,Yes,No,,,,,,
1/16/2021 9:57:25,Male,20,In a relationship,18,yes - same age,yes,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 9:59:30,Female,19,Single,19,yes - same age,Maybe,my partner is of same age,No,No,No,,,,,,
1/16/2021 9:59:39,Female,25,Single,21,yes - same age,yes,my partner is of same age,No,Yes,Yes,,,,,,
1/16/2021 10:01:45,Male,20,Single,13,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 10:02:44,Female,22,Single,21,no - not the same age,Maybe,my partner is of same age,No,No,Yes,,,,,,
1/16/2021 10:03:59,Female,22,Single,19,yes - same age,yes,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 10:05:19,Female,22,Single,0,no - not the same age,Maybe,my partner is elder,No,Maybe,No,,,,,,
1/16/2021 10:05:22,Male,28,Single,22,yes - same age,no,my partner is of same age,Yes,Yes,Yes,,,,,,
1/16/2021 10:05:31,Male,21,In a relationship,19,no - not the same age,yes,my partner is elder,Yes,Maybe,No,,,,,,
1/16/2021 10:05:33,Male,26,Single,19,yes - same age,no,my partner is of same age,Yes,No,Yes,,,,,,
1/16/2021 10:06:33,Male,22,Single,0,no - not the same age,Maybe,my partner is of same age,No,Maybe,Yes,,,,,,
1/16/2021 10:06:49,Female,19,In a relationship,18,yes - same age,yes,my partner is younger,Yes,Maybe,Yes,,,,,,
1/16/2021 10:07:53,Male,26,Single,21,yes - same age,Maybe,my partner is younger,No,Maybe,Yes,,,,,,
1/16/2021 10:11:47,Female,22,In a relationship,20,no - not the same age,yes,my partner is elder,Yes,Maybe,Yes,,,,,,
1/16/2021 10:13:06,Male,24,In a relationship,16,no - not the same age,yes,my partner is younger,Yes,Yes,Yes,,,,,,
1/16/2021 10:13:39,Female,21,Single,15,no - not the same age,no,my partner is elder,Yes,Yes,Yes,,,,,,
1/16/2021 10:13:49,Female,23,Single,16,yes - same age,Maybe,my partner is of same age,No,Yes,No,,,,,,
1/16/2021 10:14:07,Male,21,In a relationship,18,yes - same age,yes,my partner is younger,No,No,No,,,,,,
1/16/2021 10:15:42,Female,21,Single,16,yes - same age,no,my partner is elder,Yes,No,Yes,,,,,,
1/16/2021 10:15:52,Female,24,Single,24,yes - same age,no,my partner is of same age,No,No,Yes,,,,,,
1/16/2021 10:16:03,Male,21,In a relationship,16,yes - same age,yes,my partner is of same age,No,Maybe,No,,,,,,
1/16/2021 10:17:13,Male,21,Single,18,yes - same age,yes,my partner is of same age,Yes,Yes,Yes,,,,,,
1/16/2021 10:18:48,Male,20,Single,16,no - not the same age,no,my partner is younger,No,Maybe,No,,,,,,
1/16/2021 10:19:02,Female,19,Single,17,no - not the same age,yes,my partner is elder,Yes,No,Yes,,,,,,
1/16/2021 10:19:47,Male,23,In a relationship,18,yes - same age,yes,my partner is of same age,No,No,No,,,,,,
1/16/2021 10:21:28,Male,23,In a relationship,18,yes - same age,yes,my partner is elder,No,No,No,,,,,,
1/16/2021 10:21:30,Female,19,In a relationship,15,yes - same age,yes,my partner is of same age,No,No,No,,,,,,
