"stress_score","assessment_preference","screen_time","steps","marijuana_product_consumption","honor_code_violation","fastest_speed","maximum_alcohol_consumed","protest","camp","investor_type","exercise","travel_time","race_ethnicity","biological_sex","athlete","home_environment","age","gpa","school","units","urm","api","multiracial","number_of_fears","snake_fear","spider_fear","rodent_fear","dentist_fear","height_fear","blood_fear","enclosed_fear","speaking_fear","darkness_fear","failure_fear","ridicule_fear","rejection_fear","commitment_fear","intimacy_fears","death_fear"
13,"Term Paper",1,3000,"No","No",70,0,"Limited Protest","Yes","Conservative",20,10,"Asian or Pacific Islander","Female","No","Suburban",20,3.4,"SOECS",18,FALSE,TRUE,FALSE,12,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
17,"Exam(s)",6,3184,"No","No",60,0,"Any Protest","No","Moderately Aggressive",0,12,"Hispanic or Latin@","Female","No","Urban",18,3.16,"SOECS",14,TRUE,FALSE,FALSE,11,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
16,"Portfolio of Work",7,4412,"No","No",70,0,"Limited Protest","Yes","Moderate",30,5,"Asian or Pacific Islander","Female","HS","Suburban",19,4,"COP (NS)",17,FALSE,TRUE,FALSE,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4,"Course Project",6,10000,"Yes","No",97,5,"Limited Protest","No","Moderately Aggressive",240,10,"Asian or Pacific Islander;White, non Hispanic/Latin@","Male","College","Suburban",19,2.88,"ESB",16,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,"Course Project",6,10000,"Yes","Yes",97,5,"Limited Protest","No","Moderately Aggressive",240,12,"Asian or Pacific Islander;White, non Hispanic/Latin@","Male","College","Suburban",19,2.88,"ESB",16,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,"Term Paper",5,9300,"No","No",90,4,"Limited Protest","Yes","Moderately Aggressive",80,15,"Hispanic or Latin@","Female","HS","Suburban",19,3,"ESB",16,TRUE,FALSE,FALSE,11,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
24,"Exam(s)",2.2,800,"No","No",1,0,"Limited Protest","Yes","Moderately Aggressive",26,18,"Other/Prefer not to disclose","Other/prefer not to say","No","Suburban",19,3.6,"SOECS",12,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,"Course Project",7,300,"No","No",40,0,"Limited Protest","Yes","Moderate",60,5,"Asian or Pacific Islander;White, non Hispanic/Latin@","Male","No","Urban",20,3.68,"SOECS",15,TRUE,TRUE,TRUE,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
21,"Portfolio of Work",8,8713,"Yes","No",1,2,"Any Protest","Yes","Moderately Conservative",40,20,"Black or African American","Female","HS","Urban",21,3,"COP (NS)",15.5,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
11,"Exam(s)",4,7085,"No","No",85,0,"Limited Protest","Yes","Moderate",60,10,"Asian or Pacific Islander","Female","HS","Suburban",19,2.82,"SOP",12,FALSE,TRUE,FALSE,10,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
16,"Portfolio of Work",4,5077,"No","No",85,0,"Limited Protest","No","Moderately Aggressive",10,8,"White, non Hispanic/Latin@","Female","College","Suburban",18,3.6,"ESB",17,TRUE,FALSE,FALSE,9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
12,"Course Project",7,10000,"No","No",80,2,"Limited Protest","Yes","Conservative",90,15,"Asian or Pacific Islander","Female","No","Suburban",22,3.21,"COP (NS)",18,FALSE,TRUE,FALSE,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16,"Course Project",1,2,"No","No",80,2,"Limited Protest","No","Conservative",20,15,"Asian or Pacific Islander","Female","No","Suburban",22,3.2,"COP (NS)",18,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
12,"Course Project",5,4590,"No","No",0,1,"Limited Protest","No","Moderate",0,10,"Asian or Pacific Islander","Female","No","Urban",18,3,"DEN",18,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
19,"Portfolio of Work",4,5077,"No","No",100,0,"Limited Protest","No","Moderately Aggressive",10,5,"White, non Hispanic/Latin@","Female","College","Suburban",18,3.6,"ESB",17,TRUE,FALSE,FALSE,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
15,"Course Project",7,4080,"No","No",80,0,"Limited Protest","No","Moderate",5,10,"Asian or Pacific Islander","Female","HS","Suburban",19,3.8,"SOP",16,FALSE,TRUE,FALSE,4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
24,"Course Project",8,500,"No","No",80,0,"Limited Protest","No","Moderate",6,15,"Hispanic or Latin@","Male","HS","Suburban",18,3.3,"ESB",16,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,"Exam(s)",7,3520,"No","No",60,0,"Limited Protest","Yes","Moderate",55,35,"Hispanic or Latin@","Male","HS","Suburban",19,3.01,"ESB",16,TRUE,FALSE,FALSE,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
18,"Course Project",5,1000,"No","No",60,0,"Limited Protest","No","Aggressive",0,15,"Asian or Pacific Islander","Female","HS","Suburban",20,3.3,"COP (NS)",18,FALSE,TRUE,FALSE,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
15,"Course Project",5,5000,"No","No",70,0,"Limited Protest","Yes","Moderate",42,5,"Hispanic or Latin@","Male","No","Suburban",19,3.9,"SOECS",16,TRUE,FALSE,FALSE,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11,"Term Paper",9,100,"No","No",40,0,"Limited Protest","Yes","Moderately Conservative",0,8,"Black or African American","Male","No","Urban",19,2.41,"SOECS",12,TRUE,FALSE,FALSE,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
25,"Course Project",7,3000,"No","No",85,0,"Limited Protest","Yes","Moderate",50,10,"Asian or Pacific Islander","Female","No","Suburban",18,2.57,"DEN",18,FALSE,TRUE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
18,"Portfolio of Work",2.5,9000,"No","No",90,5.5,"Limited Protest","No","Moderately Conservative",80,8,"White, non Hispanic/Latin@","Male","College","Urban",22,3.49,"SOECS",16,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,"Course Project",3,5000,"Yes","Yes",105,3,"Limited Protest","Yes","Moderately Aggressive",105,5,"Hispanic or Latin@;White, non Hispanic/Latin@","Male","College","Suburban",18,3.91,"ESB",18,TRUE,FALSE,TRUE,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,"Course Project",6,7851,"No","No",85,1,"Limited Protest","No","Moderate",60,10,"Asian or Pacific Islander;White, non Hispanic/Latin@","Female","College","Suburban",21,3.63,"SOP",12,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
