company,product_name,rating,Category Corrected,country,county
Laiteries H. Triballat  Website,Picandou L'Original,GOLD,5001 - Soft goats' milk cheese plain - fresh,France,
Fromageries Lescure (Savencia)  Website,ISLOS GREEK GOAT CHEESE 150G,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Greece,
Casale Roccolo azienda agricola biologica  Website,Caprino Fresco CASALE ROCCOLO,SILVER,5001 - Soft goats' milk cheese plain - fresh,Italy,
DeJong Cheese  Website,Alphenaer Crumbled Goats Cheese Natural  View  Stockists,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Netherlands,
DeJong Cheese  Website,Alphenaer Spreadable Goats Cheese Natural  View  Stockists,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Netherlands,
Arias - Savencia  Website,Flor de Ronda,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Spain,
PRODUCTOS ALIMENTARIOS QUESÍ S.L  Website,Queso Fresco de Cabra,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Spain,
Queseria Valdehornos  Website,VALDEHORNOS Fresco,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Spain,
Lacteas Cobreros S.A.  Website,Rulo natural de cabra 100g precortado Cobreros,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Spain,
Lacteos Romero Pelaez SI (Quesos Y Besos)  Website,QUESO FRESCO QUESOS Y BESOS,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Spain,
"Quesos Corcuera, S.L  Website",QUESO ECOLOGICO DE CABRA LA CELESTINA,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Spain,
Lácteas Castellano-Leonesas S.A  Website,Queso para untar de cabra Reny Picot,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Spain,
Sabores de tallante  Website,PAÑO FRESCO DE CABRA ARTESANO,BRONZE,5001 - Soft goats' milk cheese plain - fresh,Spain,
Quesos San Mateo  Website,Queso fresco de cabra SAN MATEO,SILVER,5001 - Soft goats' milk cheese plain - fresh,Spain,
"Central Quesera Montesinos, S.L.U.  Website",Capricho de Cabra Natural,SILVER,5001 - Soft goats' milk cheese plain - fresh,Spain,
AGROALIMENTARIA EL BUCARITO SL  Website,QUESO FRESCO EL BUCARITO,SILVER,5001 - Soft goats' milk cheese plain - fresh,Spain,
"Quesos de Almazora, S.L.  Website",QUESO TRONCHÓN FRESCO DE CABRA,GOLD,5001 - Soft goats' milk cheese plain - fresh,Spain,
Cerney Cheese  Website,Cerney Ash Pyramid  View  Stockists,BRONZE,5001 - Soft goats' milk cheese plain - fresh,United Kingdom,Gloucestershire
Cerney Cheese  Website,Cerney Ash Pyramid,SILVER,5001 - Soft goats' milk cheese plain - fresh,United Kingdom,Gloucestershire
